wavelength (nm),absorption (m^-1),scattering (m^-1)
1114,23.3174,9.10E-05
1115,23.5665,9.07E-05
1116,23.7063,9.03E-05
1117,23.9813,9.00E-05
1118,24.3816,8.96E-05
1119,24.8453,8.93E-05
1120,25.353,8.89E-05
1121,25.9281,8.86E-05
1122,26.4729,8.83E-05
1123,26.8553,8.79E-05
1124,27.5181,8.76E-05
1125,28.3135,8.72E-05
1126,29.2337,8.69E-05
1127,30.2058,8.66E-05
1128,31.1231,8.62E-05
1129,32.4675,8.59E-05
1130,34.0425,8.56E-05
1131,35.8823,8.53E-05
1132,37.7504,8.49E-05
1133,40.0035,8.46E-05
1134,42.3875,8.43E-05
1135,44.8593,8.40E-05
1136,46.6073,8.37E-05
1137,49.4497,8.33E-05
1138,52.7012,8.30E-05
1139,56.8576,8.27E-05
1140,60.4057,8.24E-05
1141,64.0123,8.21E-05
1142,68.0757,8.18E-05
1143,72.2522,8.15E-05
1144,76.8516,8.12E-05
1145,80.7014,8.08E-05
1146,84.8504,8.05E-05
1147,88.8441,8.02E-05
1148,92.5026,7.99E-05
1149,94.9817,7.96E-05
1150,97.9895,7.93E-05
1151,100.996,7.90E-05
1152,104.602,7.87E-05
1153,107.193,7.85E-05
1154,109.369,7.82E-05
1155,111.408,7.79E-05
1156,113.129,7.76E-05
1157,113.928,7.73E-05
1158,115.076,7.70E-05
1159,116.147,7.67E-05
1160,117.251,7.64E-05
1161,118.051,7.61E-05
1162,118.618,7.59E-05
1163,119.188,7.56E-05
1164,119.65,7.53E-05
1165,119.731,7.50E-05
1166,119.987,7.47E-05
1167,120.243,7.45E-05
1168,120.229,7.42E-05
1169,120.58,7.39E-05
1170,121.038,7.36E-05
1171,121.894,7.34E-05
1172,122.268,7.31E-05
1173,122.553,7.28E-05
1174,122.922,7.26E-05
1175,123.206,7.23E-05
1176,123.046,7.20E-05
1177,123.131,7.18E-05
1178,123.275,7.15E-05
1179,123.572,7.12E-05
1180,123.846,7.10E-05
1181,124.146,7.07E-05
1182,124.513,7.05E-05
1183,124.814,7.02E-05
1184,125.155,7.00E-05
1185,125.48,6.97E-05
1186,125.778,6.94E-05
1187,125.981,6.92E-05
1188,126.228,6.89E-05
1189,126.474,6.87E-05
1190,126.719,6.84E-05
1191,126.965,6.82E-05
1192,127.21,6.80E-05
1193,127.611,6.77E-05
1194,127.809,6.75E-05
1195,127.948,6.72E-05
1196,128.273,6.70E-05
1197,128.252,6.67E-05
1198,128.079,6.65E-05
1199,127.372,6.63E-05
1200,127.2,6.60E-05
1201,127.291,6.58E-05
1202,127.137,6.55E-05
1203,126.968,6.53E-05
1204,126.864,6.51E-05
1205,126.782,6.48E-05
1206,126.643,6.46E-05
1207,126.288,6.44E-05
1208,125.975,6.41E-05
1209,125.663,6.39E-05
1210,125.352,6.37E-05
1211,125.11,6.35E-05
1212,124.869,6.32E-05
1213,124.782,6.30E-05
1214,124.426,6.28E-05
1215,124.014,6.26E-05
